id,content,review,rating,sentiment
8879765,"bánh thơm,ngon,nhiều bơ,mùi tỏi cũng k hắc mà thơm. Nhưng mong shop có thể cắt hẳn luôn phần bánh liền ở phía dưới để khách hành dễ lấy hơn.","bánh thơm,ngon,nhiều bơ,mùi tỏi cũng k hắc mà thơm. Nhưng mong shop có thể cắt hẳn luôn phần bánh liền ở phía dưới để khách hành dễ lấy hơn.",recommended,positive
8771046,ngon lắm ạ,ngon lắm ạ,recommended,positive
8691580,Thèm quá nên vừa lấy về là dứt lần 2 cái hehe. Ăn từ CN 1 qua CN 2 xong h về CN 1 ăn tiếp :v,Thèm quá nên vừa lấy về là dứt lần 2 cái hehe. Ăn từ CN 1 qua CN 2 xong h về CN 1 ăn tiếp :v,recommended,positive
8631123,ngon xỉu lun,ngon xỉu lun,recommended,positive
7100377,banh My ngon lam,bánh mỳ ngon lắm,recommended,positive
6949564,hơi nhỏ nhưng mà ngon,hơi nhỏ nhưng mà ngon,recommended,positive
6947056,ngon nha mà ko biết phải ngàn lớp hay ko nữa ^_^,ngon nha mà ko biết phải ngàn lớp hay ko nữa ^_^,recommended,positive
6922522,Bánh ngon ạ,Bánh ngon ạ,recommended,positive
6796982,cảm thấy bánh rất ngon,cảm thấy bánh rất ngon,recommended,positive
6796980,bánh rất ngon,bánh rất ngon,recommended,positive
6778941,Ăn cũng ngon,Ăn cũng ngon,recommended,positive
6771917,ngonnnnn cực lun í,ngonnnnn cực lun í,recommended,positive
6759274,Rất tốt. Bánh rất ngon,Rất tốt. Bánh rất ngon,recommended,positive
6757155,"ngon,chất lượng,giá hợp lý","ngon,chất lượng,giá hợp lý",recommended,positive
6739682,bánh ngon lắm,bánh ngon lắm,recommended,positive
6631803,Bánh ngon mà rẻ nữa. Ủng hộ Tiệm bánh dài luôn nhen,Bánh ngon mà rẻ nữa. Ủng hộ Tiệm bánh dài luôn nhen,recommended,positive
6626605,Bánh siêu ngon,Bánh siêu ngon,recommended,positive
